Name,Rating,Price Rs,RAM Gb,ROM Gb,Expandable GB,Size Cm,Size Inch,R1 Cam MP,R2 Cam MP,R3 Cam MP,R4 Cam MP,Battery Mah,Processor,Image
"POCO M2 (Brick Red, 64 GB)",4.4,"10,999",6,64,512,16.59,6.53,13,8,5,2,5000,MediaTek Helio G80 Processor,https://rukminim1.flixcart.com/image/312/312/kerfl3k0/mobile/a/k/q/poco-m2-mzb9921in-original-imafvdpvfhdbgqhg.jpeg?q=70
"Realme C3 (Blazing Red, 64 GB)",4.4,"9,999",4,64,256,16.56,6.52,12,2,0,0,5000,Helio G70 Processor,https://rukminim1.flixcart.com/image/312/312/k612pow0/mobile/p/c/d/realme-c3-rmx2027-original-imafzkzhzj7gfths.jpeg?q=70
"Redmi 8 (Emerald Green, 64 GB)",4.4,"9,999",4,64,512,15.8,6.22,12,2,0,0,5000,Qualcomm Snapdragon 439 Processor,https://rukminim1.flixcart.com/image/312/312/k1fbmvk0/mobile/9/e/m/mi-redmi-8-mzb8252in-original-imafhyacczv2h27n.jpeg?q=70
"Redmi 8 (Onyx Black, 64 GB)",4.4,"9,999",4,64,512,15.8,6.22,12,2,0,0,5000,Qualcomm Snapdragon 439 Processor,https://rukminim1.flixcart.com/image/312/312/k1fbmvk0/mobile/k/b/e/mi-redmi-8-mzb8250in-original-imafhyabpggagngr.jpeg?q=70
"Tecno Spark Power 2 (Misty Grey, 64 GB)",4.3,"9,999",4,64,256,17.78,7,16,5,2,0,6000,MediaTek Helio P22 Octa Core Processor,https://rukminim1.flixcart.com/image/312/312/kbb49zk0/mobile/w/y/5/tecno-spark-power-2-lc8-original-imafszvfphydcrf6.jpeg?q=70
"Motorola One Fusion+ (Twilight Blue, 128 GB)",4.4,"17,499",6,128,1,16.51,6.5,64,8,5,2,5000,Qualcomm Snapdragon 730G Processor,https://rukminim1.flixcart.com/image/312/312/kb6tyfk0/mobile/d/n/z/motorola-one-fusion-pakf0002in-original-imafsh2zf4y3kayz.jpeg?q=70
"Redmi 8 (Ruby Red, 64 GB)",4.4,"9,999",4,64,512,15.8,6.22,12,2,0,0,5000,Qualcomm Snapdragon 439 Processor,https://rukminim1.flixcart.com/image/312/312/k1fbmvk0/mobile/4/f/f/mi-redmi-8-mzb8251in-original-imafhyacmxaefxgw.jpeg?q=70
"POCO M2 (Slate Blue, 128 GB)",4.4,"12,499",6,128,512,16.59,6.53,13,8,5,2,5000,MediaTek Helio G80 Processor,https://rukminim1.flixcart.com/image/312/312/kesv0y80/mobile/n/u/v/poco-m2-mzb9920in-original-imafvdrfhhuzcnyw.jpeg?q=70
"POCO M2 Pro (Green and Greener, 64 GB)",4.4,"13,999",4,64,512,16.94,6.67,48,8,5,2,5000,Qualcomm Snapdragon 720G Processor,https://rukminim1.flixcart.com/image/312/312/kcauaa80/mobile/c/w/a/poco-m2-pro-mzb9625in-original-imaftga2ytmnt7ac.jpeg?q=70
"Infinix Hot 9 Pro (Violet, 64 GB)",4.4,"10,499",4,64,256,16.76,6.6,48,2,2,0,5000,MediaTek Helio P22 (64 bit) Processor,https://rukminim1.flixcart.com/image/312/312/k8g8knk0/mobile/3/s/p/infinix-hot-9-pro-x655f-original-imafqgr9hfgvyn6k.jpeg?q=70
"Infinix Hot 9 Pro (Ocean Wave, 64 GB)",4.4,"10,499",4,64,256,16.76,6.6,48,2,2,0,5000,MediaTek Helio P22 (64 bit) Processor,https://rukminim1.flixcart.com/image/312/312/k8g8knk0/mobile/y/k/j/infinix-hot-9-pro-x655f-original-imafqgr9skhczn7y.jpeg?q=70
"Realme 6 (Comet Blue, 64 GB)",4.4,"14,999",6,64,256,16.51,6.5,64,8,2,2,4300,MediaTek Helio G90T Processor,https://rukminim1.flixcart.com/image/312/312/kckud8w0/mobile/y/k/w/realme-6-rmx2001-original-imaftzgfyrnaj9wb.jpeg?q=70
"Redmi 8 (Sapphire Blue, 64 GB)",4.4,"9,999",4,64,512,15.8,6.22,12,2,0,0,5000,Qualcomm Snapdragon 439 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Motorola E7 Plus (Misty Blue, 64 GB)",4.3,"9,499",4,64,512,16.51,6.5,48,2,0,0,5000,Qualcomm Snapdragon 460 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi 9i (Midnight Black, 64 GB)",4.5,"8,299",4,64,512,16.59,6.53,13,0,0,0,5000,MediaTek Helio G25 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi 9 (Sky Blue, 64 GB)",4.2,"10,949",4,64,256,16.59,6.53,13,8,0,0,5000,MediaTek Helio G35 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"POCO M2 Pro (Two Shades of Black, 64 GB)",4.4,"14,999",6,64,512,16.94,6.67,48,8,5,2,5000,Qualcomm Snapdragon 720G Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi 9i (Sea Blue, 64 GB)",4.5,"8,299",4,64,512,16.59,6.53,13,0,0,0,5000,MediaTek Helio G25 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Realme 6i (Lunar White, 64 GB)",4.4,"13,999",6,64,256,16.51,6.5,48,8,2,2,4300,MediaTek Helio G90T Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Realme 6i (Eclipse Black, 64 GB)",4.4,"13,999",6,64,256,16.51,6.5,48,8,2,2,4300,MediaTek Helio G90T Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Tecno Spark Power 2 (Ice Jadeite, 64 GB)",4.3,"9,999",4,64,256,17.78,7,16,5,2,0,6000,MediaTek Helio P22 Octa Core Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Vivo Y20 (Purist Blue, 64 GB)",4.4,"12,990",4,64,256,16.54,6.51,13,2,2,0,5000,Qualcomm Snapdragon 460 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Realme C11 (Rich Grey, 32 GB)",4.4,"7,499",2,32,256,16.51,6.5,13,2,0,0,5000,Mediatek Helio G35 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Realme C11 (Rich Green, 32 GB)",4.4,"7,499",2,32,256,16.51,6.5,13,2,0,0,5000,Mediatek Helio G35 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Realme 6 (Comet White, 64 GB)",4.4,"14,999",6,64,256,16.51,6.5,64,8,2,2,4300,MediaTek Helio G90T Processor,https://rukminim1.flixcart.com/image/312/312/kc3p30w0/mobile/f/w/u/realme-6-rmx2001-original-imaftazphzthcbse.jpeg?q=70
"POCO M2 Pro (Green and Greener, 64 GB)",4.4,"14,999",6,64,512,16.94,6.67,48,8,5,2,5000,Qualcomm Snapdragon 720G Processor,https://rukminim1.flixcart.com/image/312/312/kcauaa80/mobile/c/w/a/poco-m2-pro-mzb9625in-original-imaftga2ytmnt7ac.jpeg?q=70
"POCO M2 Pro (Two Shades of Black, 64 GB)",4.4,"13,999",4,64,512,16.94,6.67,48,8,5,2,5000,Qualcomm Snapdragon 720G Processor,https://rukminim1.flixcart.com/image/312/312/kcauaa80/mobile/2/p/u/poco-m2-pro-mzb9621in-original-imaftg9fkdpgbgxq.jpeg?q=70
"Vivo Y20 (Obsidian Black, 64 GB)",4.4,"12,990",4,64,256,16.54,6.51,13,2,2,0,5000,Qualcomm Snapdragon 460 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Vivo Y20 (Dawn White, 64 GB)",4.4,"12,990",4,64,256,16.54,6.51,13,2,2,0,5000,Qualcomm Snapdragon 460 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"POCO X2 (Matrix Purple, 128 GB)",4.5,"18,499",6,128,512,16.94,6.67,64,8,2,2,4500,Qualcomm Snapdragon 730G Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"POCO M2 Pro (Out of the Blue, 64 GB)",4.4,"14,999",6,64,512,16.94,6.67,48,8,5,2,5000,Qualcomm Snapdragon 720G Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"POCO M2 Pro (Two Shades of Black, 128 GB)",4.4,"16,999",6,128,512,16.94,6.67,48,8,5,2,5000,Qualcomm Snapdragon 720G Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"POCO M2 Pro (Out of the Blue, 64 GB)",4.4,"13,999",4,64,512,16.94,6.67,48,8,5,2,5000,Qualcomm Snapdragon 720G Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"POCO X2 (Atlantis Blue, 128 GB)",4.5,"18,499",6,128,512,16.94,6.67,64,8,2,2,4500,Qualcomm Snapdragon 730G Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi 9A (Midnight Black, 32 GB)",4.4,"8,125",2,32,256,16.59,6.53,13,0,0,0,5000,MediaTek Helio G25 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi 9A (Nature Green, 32 GB)",4.4,"8,048",2,32,256,16.59,6.53,13,0,0,0,5000,MediaTek Helio G25 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi 9A (Midnight Black, 32 GB)",4.4,"9,150",3,32,512,16.59,6.53,13,0,0,0,5000,MediaTek Helio G25 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi 9A (SeaBlue, 32 GB)",4.4,"8,099",2,32,256,16.59,6.53,13,0,0,0,5000,MediaTek Helio G25 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Realme 7 Pro (Mirror Blue, 128 GB)",4.4,"19,999",6,128,256,16.26,6.4,64,8,2,2,4500,Qualcomm Snapdragon 720G Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Realme 7 Pro (Mirror Silver, 128 GB)",4.4,"21,999",8,128,256,16.26,6.4,64,8,2,2,4500,Qualcomm Snapdragon 720G Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Realme 7 Pro (Mirror Silver, 128 GB)",4.4,"19,999",6,128,256,16.26,6.4,64,8,2,2,4500,Qualcomm Snapdragon 720G Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Realme 7 Pro (Mirror Blue, 128 GB)",4.4,"21,999",8,128,256,16.26,6.4,64,8,2,2,4500,Qualcomm Snapdragon 720G Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Vivo Y50 (Iris Blue, 128 GB)",4.4,"16,990",8,128,256,16.59,6.53,13,8,2,2,5000,Qualcomm Snapdragon 665 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Vivo Y50 (Pearl White, 128 GB)",4.4,"16,990",8,128,256,16.59,6.53,13,8,2,2,5000,Qualcomm Snapdragon 665 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Infinix S5 Pro (Violet, 64 GB)",4.4,"11,499",4,64,256,16.59,6.53,48,2,0,0,4000,MediaTek Helio P35 (MTK6765) Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Realme Narzo 10A (So White, 32 GB)",4.5,"8,999",3,32,256,16.56,6.52,12,2,2,0,5000,MediaTek Helio G70 (12 nm) Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Realme Narzo 10A (So Blue, 32 GB)",4.5,"8,999",3,32,256,16.56,6.52,12,2,2,0,5000,MediaTek Helio G70 (12 nm) Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Realme Narzo 10A (So White, 64 GB)",4.5,"9,999",4,64,256,16.56,6.52,12,2,2,0,5000,MediaTek Helio G70 (12 nm) Processor,https://rukminim1.flixcart.com/image/312/312/k8ddoy80/mobile/u/g/w/realme-narzo-10a-rmx2020-original-imafqechxsprgfgr.jpeg?q=70
"Realme Narzo 10A (So Blue, 64 GB)",4.5,"9,999",4,64,256,16.56,6.52,12,2,2,0,5000,MediaTek Helio G70 (12 nm) Processor,https://rukminim1.flixcart.com/image/312/312/k8ddoy80/mobile/4/e/4/realme-narzo-10a-rmx2020-original-imafqechvukdhu6q.jpeg?q=70
"Realme 6 (Comet Blue, 128 GB)",4.4,"16,999",8,128,256,16.51,6.5,64,8,2,2,4300,MediaTek Helio G90T Processor,https://rukminim1.flixcart.com/image/312/312/k7dnonk0/mobile/7/n/f/realme-6-rbs0605in-original-imafpmftxfvhbrm9.jpeg?q=70
"Vivo Y91i (Fusion Black, 32 GB)",4.3,"7,990",2,32,256,15.8,6.22,13,0,0,0,4030,MTK Helio P22 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Vivo Y91i (Ocean Blue, 32 GB)",4.3,"7,990",2,32,256,15.8,6.22,13,0,0,0,4030,MTK Helio P22 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Vivo Y11 (Agate Red, 32 GB)",4.3,"9,990",3,32,256,16.13,6.35,13,2,0,0,5000,SDM439 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Vivo Y11 (Mineral Blue, 32 GB)",4.3,"9,990",3,32,256,16.13,6.35,13,2,0,0,5000,SDM439 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Realme Narzo 10 (That Blue, 128 GB)",4.5,"11,999",4,128,256,16.51,6.5,48,8,2,2,5000,MediaTek Helio G80 (12 nm) Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"OPPO F17 (Classic Silver, 128 GB)",4.4,"17,990",6,128,256,16.36,6.44,16,8,2,2,4015,Qualcomm Snapdragon 662 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"OPPO Reno2 F (Sky White, 128 GB)",4.4,"21,990",8,128,256,16.51,6.5,48,8,2,2,4000,MTK MT6771V(P70) 64bit Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"POCO M2 Pro (Out of the Blue, 128 GB)",4.4,"16,999",6,128,512,16.94,6.67,48,8,5,2,5000,Qualcomm Snapdragon 720G Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"POCO M2 Pro (Green and Greener, 128 GB)",4.4,"16,999",6,128,512,16.94,6.67,48,8,5,2,5000,Qualcomm Snapdragon 720G Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi 8A Dual (Sea Blue, 32 GB)",4.2,"8,247",2,32,512,15.8,6.22,13,2,0,0,5000,Qualcomm Snapdragon 439 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"POCO X2 (Atlantis Blue, 64 GB)",4.5,"17,499",6,64,512,16.94,6.67,64,8,2,2,4500,Qualcomm Snapdragon 730G Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Realme C15 (Power Blue, 32 GB)",3.8,"9,999",3,32,256,16.56,6.52,13,8,2,2,6000,Mediatek Helio G35 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Vivo Y12 (Burgundy Red, 64 GB)",4.3,"10,990",3,64,256,16.13,6.35,13,2,8,0,5000,MediaTek Helio P22 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi 9 (Carbon Black, 64 GB)",4.2,"10,999",4,64,256,16.59,6.53,13,8,0,0,5000,MediaTek Helio G35 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi 8A Dual (Midnight Grey, 32 GB)",4.2,"8,949",3,32,512,15.8,6.22,13,2,0,0,5000,Qualcomm Snapdragon 439 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Motorola One Fusion+ (Moonlight White, 128 GB)",4.4,"17,499",6,128,1,16.51,6.5,64,8,5,2,5000,Qualcomm Snapdragon 730G Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"OPPO F17 (Dynamic Orange, 128 GB)",4.4,"17,990",6,128,256,16.36,6.44,16,8,2,2,4015,Qualcomm Snapdragon 662 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"OPPO F17 (Dynamic Orange, 128 GB)",4.3,"19,990",8,128,256,16.36,6.44,16,8,2,2,4015,Qualcomm Snapdragon 662 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"OPPO F17 (Navy Blue, 128 GB)",4.3,"19,990",8,128,256,16.36,6.44,16,8,2,2,4015,Qualcomm Snapdragon 662 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"TECNO SPARK 6 AIR (COMET BLACK, 32 GB)",4.3,"7,815",2,32,256,17.78,7,13,0,0,0,6000,MediaTek Helio A22 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi Note 9 (Scarlet Red, 64 GB)",4.4,"13,442",4,64,256,16.59,6.53,48,0,0,0,5020,MediaTek Helio G85 Processor,https://rukminim1.flixcart.com/image/312/312/kdqa4y80/mobile/a/e/r/mi-redmi-note-9-m2003j15si-original-imafukarcpe9ayme.jpeg?q=70
"Redmi Note 9 (Aqua Green, 128 GB)",4.4,"14,049",4,128,512,16.59,6.53,48,0,0,0,5020,MediaTek Helio G85 Processor,https://rukminim1.flixcart.com/image/312/312/kd69z0w0/mobile/4/z/u/mi-redmi-note-9-b086982zkf-original-imafu4pyhhpwuzaw.jpeg?q=70
"Redmi Note 9 (Scarlet Red, 128 GB)",4.3,"16,410",6,128,256,16.59,6.53,48,0,0,0,5020,MediaTek Helio G85 Processor,https://rukminim1.flixcart.com/image/312/312/kdqa4y80/mobile/a/e/r/mi-redmi-note-9-m2003j15si-original-imafukarcpe9ayme.jpeg?q=70
"Redmi Note 9 (Arctic White, 64 GB)",4.4,"13,648",4,64,512,16.59,6.53,48,0,0,0,5020,MediaTek Helio G85 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Redmi 9 Prime (Space Blue, 128 GB)",4.4,"13,830",4,128,256,16.59,6.53,13,0,0,0,5020,Helio G80 processor ,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Realme C15 (Power Blue, 64 GB)",4.5,"10,999",4,64,256,16.56,6.52,13,8,2,2,6000,Mediatek Helio G35 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Vivo Y20i (Nebula Blue, 64 GB)",4.3,"11,490",3,64,256,16.54,6.51,13,2,2,0,5000,Qualcomm Snapdragon 460 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Realme C15 (Power Silver, 64 GB)",4.5,"10,999",4,64,256,16.56,6.52,13,8,2,2,6000,Mediatek Helio G35 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Infinix S5 Pro (Forest Green, 64 GB)",4.4,"11,499",4,64,256,16.59,6.53,48,2,0,0,4000,MediaTek Helio P35 (MTK6765) Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Infinix S5 Pro (Sea Blue, 64 GB)",4.4,"11,499",4,64,256,16.59,6.53,48,2,0,0,4000,MediaTek Helio P35 (MTK6765) Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Vivo Y12 (Aqua Blue, 64 GB)",4.3,"10,990",3,64,256,16.13,6.35,13,2,8,0,5000,MediaTek Helio P22 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"POCO X2 (Phoenix Red, 128 GB)",4.5,"18,499",6,128,512,16.94,6.67,64,8,2,2,4500,Qualcomm Snapdragon 730G Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"OPPO F17 Pro (Matte Black, 128 GB)",4.4,"22,990",8,128,256,16.33,6.43,48,8,2,2,4015,MediaTek Helio P95 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
"Realme 6 (Comet White, 128 GB)",4.4,"16,999",8,128,256,16.51,6.5,64,8,2,2,4300,MediaTek Helio G90T Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
